Console Name,Game Name,Original Name
ARCADE,dynagear,dynagear.zip
ARCADE,dynduke,dynduke.zip
ARCADE,earthjkr,earthjkr.zip
ARCADE,edf,edf.zip
ARCADE,edrandy,edrandy.zip
ARCADE,eightfrc,eightfrc.zip
ARCADE,elvactr,elvactr.zip
ARCADE,espgal,espgal.zip
ARCADE,esprade,esprade.zip
ARCADE,espradej,espradej.zip
ARCADE,eswat,eswat.zip
ARCADE,exerion,exerion.zip
ARCADE,explbrkr,explbrkr.zip
ARCADE,extdwnhl,extdwnhl.zip
ARCADE,extrmatn,extrmatn.zip
ARCADE,fantzn2x,fantzn2x.zip
ARCADE,fantzone,fantzone.zip
ARCADE,feversos,feversos.zip
ARCADE,fghtatck,fghtatck.zip
ARCADE,fhawk,fhawk.zip
ARCADE,finalizr,finalizr.zip
ARCADE,firebarr,firebarr.zip
ARCADE,firehawk,firehawk.zip
ARCADE,firetrap,firetrap.zip
ARCADE,fixeight,fixeight.zip
ARCADE,flashgal,flashgal.zip
ARCADE,flytiger,flytiger.zip
ARCADE,fshark,fshark.zip
ARCADE,fstarfrc,fstarfrc.zip
ARCADE,funkyjet,funkyjet.zip
ARCADE,ga2,ga2.zip
ARCADE,gaia,gaia.zip
ARCADE,gaialast,gaialast.zip
ARCADE,gaiapols,gaiapols.zip
ARCADE,galaga,galaga.zip
ARCADE,galaga88,galaga88.zip
ARCADE,galmedes,galmedes.zip
ARCADE,gametngk,gametngk.zip
ARCADE,gangwars,gangwars.zip
ARCADE,gaplus,gaplus.zip
ARCADE,garyoret,garyoret.zip
ARCADE,gberet,gberet.zip
ARCADE,gbusters,gbusters.zip
ARCADE,gcpinbal,gcpinbal.zip
ARCADE,gekiridn,gekiridn.zip
ARCADE,gemini,gemini.zip
ARCADE,ghox,ghox.zip
ARCADE,gijoe,gijoe.zip
ARCADE,ginganin,ginganin.zip
ARCADE,gladiatr,gladiatr.zip
ARCADE,gng,gng.zip
ARCADE,gokuparo,gokuparo.zip
ARCADE,goldnaxe,goldnaxe.zip
ARCADE,gondo,gondo.zip
ARCADE,gradius3,gradius3.zip
ARCADE,gratia,gratia.zip
ARCADE,grdians,grdians.zip
ARCADE,grdnstrm,grdnstrm.zip
ARCADE,growl,growl.zip
ARCADE,gseeker,gseeker.zip
ARCADE,guardian,guardian.zip
ARCADE,gulfstrm,gulfstrm.zip
ARCADE,gulfwar2,gulfwar2.zip
ARCADE,gunbird,gunbird.zip
ARCADE,gunbird2,gunbird2.zip
ARCADE,gundamex,gundamex.zip
ARCADE,gundhara,gundhara.zip
ARCADE,gunforc2,gunforc2.zip
ARCADE,gunforce,gunforce.zip
ARCADE,gunfront,gunfront.zip
ARCADE,gunlock,gunlock.zip
