Console ID,Console Name,Game Name,rating,rating_count
18,FC,Jurassic Park,98.6897896105644,7
18,FC,Shanghai,89.73464391302221,13
18,FC,Fantastic Dizzy,89.6340031315415,14
18,FC,Super Mario Bros. 3,89.3885615213143,1201
18,FC,Clash at Demonhead,88.93671105824639,8
18,FC,Elite,88.7929354625709,22
18,FC,Bucky O'Hare,88.6456995903595,17
18,FC,Mega Man 2,87.07608883134411,316
18,FC,Tetris,86.6009220419251,876
18,FC,StarTropics,86.47688799278112,19
18,FC,Maniac Mansion,86.38168170285469,96
18,FC,Super Spy Hunter,85.67590185207949,5
18,FC,Super Dodge Ball,84.82797438929589,9
18,FC,DuckTales 2,84.5052767908615,36
18,FC,Tales of the Unknown: Volume I - The Bard's Tale,84.4789895676768,13
18,FC,Super Mario Bros.,83.9048330753397,1017
18,FC,Shadowgate,83.74363962021,20
18,FC,Super Mario Bros. / Duck Hunt,83.62343378176871,26
18,FC,Mike Tyson's Punch-Out!!,83.1184175929279,77
18,FC,Prince of Persia,82.2840958871467,225
18,FC,Last Ninja 2: Back with a Vengeance,82.2464480310791,9
18,FC,DuckTales,82.1781705518351,126
18,FC,Battle City,81.9870712946544,56
18,FC,Arkanoid,81.85863893746779,88
18,FC,Blades of Steel,81.79196245193219,28
18,FC,Bomberman II,81.4167611296285,17
18,FC,Faxanadu,81.3444595807114,26
18,FC,Toki,81.13053419800829,17
18,FC,Makaimura Gaiden: The Demon Darkness,81.0,3
18,FC,Galaga: Demons of Death,81.0,3
18,FC,The Legend of Zelda,80.89612421282659,572
18,FC,Darkwing Duck,80.80327583479371,47
18,FC,Mega Man 3,80.7164767312487,151
18,FC,Mega Man 6,80.71368003090839,70
18,FC,The Guardian Legend,80.711481378667,8
18,FC,Teenage Mutant Ninja Turtles II: The Arcade Game,80.5951771462626,74
18,FC,Battletoads & Double Dragon,80.56795875715738,54
18,FC,Mr. Gimmick,80.5442315129413,11
18,FC,Kirby's Adventure,80.3743176920544,139
18,FC,Punch-Out!!,80.29677198149861,23
18,FC,Alwa's Awakening,80.09853865956231,11
18,FC,Track & Field II,80.0752151191189,8
18,FC,Super Cars,80.0590758202864,7
18,FC,Shadow of the Ninja,79.9714841999768,16
18,FC,Magic Jewelry,79.9604360152978,6
18,FC,Star Trek: 25th Anniversary,79.9541999285577,10
18,FC,Super C,79.94020333507619,11
18,FC,Eliminator Boat Duel,79.92760836123429,5
18,FC,Panic Restaurant,79.9275824689975,5
18,FC,Blaster Master,79.9243846557873,23
18,FC,Treasure Island Dizzy,79.9229560526251,10
18,FC,Power Blade 2,79.9224976109384,6
18,FC,Contra,79.9116958850361,19
18,FC,Felix the Cat,79.8959012288398,23
18,FC,Lunar Pool,79.8598825375245,13
18,FC,Splatterhouse: Wanpaku Graffiti,79.8202771686063,6
18,FC,Ninja Gaiden II: The Dark Sword of Chaos,79.8023014906352,38
18,FC,Silkworm,79.79583786623989,18
18,FC,Ninja Gaiden III: The Ancient Ship of Doom,79.7791874230892,29
18,FC,Tennis,79.7783481144578,24
18,FC,Spy Hunter,79.6749783657478,29
18,FC,Side Pocket,79.6180357731413,6
18,FC,R.C. Pro-Am,79.55278779110719,15
18,FC,River City Ransom,79.5508358786406,38
18,FC,Arkanoid: Revenge of Doh,79.5278909449235,13
18,FC,Déjà Vu: A Nightmare Comes True!!,79.48491797497711,7
18,FC,Nebulus,79.4828115942563,11
18,FC,Adventures of Lolo 3,79.44772019595321,10
18,FC,Bases Loaded,79.3226823231749,13
18,FC,Advanced Dungeons & Dragons: Pool of Radiance,79.28275194385,19
18,FC,Shatterhand,79.2274452501191,14
18,FC,Chip 'n Dale Rescue Rangers,79.199810710147,89
18,FC,Journey to Silius,79.146894902214,16
18,FC,Fire 'n Ice,79.1397849462366,6
18,FC,Adventures of Lolo 2,78.9735518961202,11
18,FC,Teenage Mutant Ninja Turtles III: The Manhattan Project,78.8942003317607,44
18,FC,Adventures of Lolo,78.7973140136435,31
18,FC,Micro Machines,78.7555860474002,57
18,FC,Castlevania,78.5297671537681,255
18,FC,Chip 'n Dale Rescue Rangers 2,78.5074357568659,47
18,FC,Archon,78.1827965612798,21
18,FC,World Games,78.0931923106412,11
18,FC,Mega Man 5,77.9807159262319,77
18,FC,Final Fantasy,77.93611432672509,206
18,FC,Little Nemo: The Dream Master,77.9152335135209,17
18,FC,Space Invaders,77.7664157328699,135
18,FC,Star Wars,77.7188716776998,5
18,FC,Snake Rattle 'n' Roll,77.27097557442809,16
18,FC,TaleSpin,77.13623769257511,17
18,FC,Monster in My Pocket,77.1064077341383,12
18,FC,Mega Man 4,77.06948517040401,104
18,FC,The NewZealand Story,77.0273953083036,21
18,FC,Terra Cresta,77.0260501621086,8
18,FC,Battletoads,76.94520122989,106
18,FC,Lode Runner,76.890999896873,41
18,FC,BurgerTime,76.83659987998679,31
18,FC,Ninja Gaiden,76.6759308614248,6
18,FC,Zanac,76.5015084067714,8
18,FC,Power Blade,76.260948806966,7
18,FC,North & South,76.17389345188559,21
18,FC,Little Samson,76.145434874473,6
18,FC,Super Mario Bros. 2,76.073794064431,440
18,FC,Mega Man,76.0254126033003,230
18,FC,Zen: Intergalactic Ninja,76.0,3
18,FC,Gun.Smoke,75.7829883312652,26
18,FC,Marble Madness,75.7680932854332,57
18,FC,Rampage,75.671890182679,41
18,FC,Indiana Jones and the Last Crusade,75.6622966467261,6
18,FC,Mighty Final Fight,75.5762017049881,19
18,FC,Castlevania III: Dracula's Curse,75.3646552130011,116
18,FC,Vulcan Venture,75.2892338496095,5
