Console Name,Game Name_x,Original Name,Console ID,Game Name_y,rating,rating_count,similarity
MD,incrediblehulk1,259 Incredible Hulk.bin,29,theincrediblehulk1,58.3752973683,5,91
GB,toprankingtennis1,Top Ranking Tennis.gb,33,topranktennis1,74.0,0,90
GBC,legendofzeldatheoracleofages1,"020 Legend of Zelda,The-Oracle of Ages.gbc",22,thelegendofzeldaoracleofages1,84.380273352,118,90
GB,ghostbusters2,122 Ghostbusters 2.gb,33,newghostbusters2,72.6539055892,7,90
MD,toejamearl1,129 Toe Jam & Earl.bin,29,teamearl1,88.444698539,34,90
GBC,warioland3,017 Warioland 3.gbc,22,marioland3,79.0674807168,32,90
GBA,threestooges1,680 Three Stooges.gba,24,thethreestooges1,46.560409777,6,90
GB,doberman1,083 Bomberman.gb,33,dobermango1,74.0,1,90
MD,addamsfamily1,306 Addams Family.bin,29,theaddamsfamily1,68.789968887,14,90
GB,chessmaster1,095 Chessmaster.gb,33,thechessmaster1,55.0,4,89
MD,zoom1,591 Zoom!.bin,29,zoo1,62.0,2,89
GB,thesimpsonsescapefromcampdeadly1,194 The Simpsons-Escape from Camp Deadly.gb,33,bartsimpsoniescapefromcampdeadly1,55.0,2,89
FC,talespin1,552 Tale Spin.nes,18,tailspin1,77.1362376926,17,89
NEOGEO,fatfury1,fatfury1.zip,80,fatalfury1,62.6294091243,29,89
GG,goshinobi1,001 GG Shinobi 1.gg,35,shinobi1,58.7310216908,34,89
FC,powprisonersofwar1,047 POW-Prisoners of War.nes,18,ioiprisonersofwar1,69.8651894703,9,89
NEOGEO,fatfury2,fatfury2.zip,80,fatalfury2,67.0616953365,30,89
FC,ispacman1,077 Ms. Pac-Man.nes,18,pacman1,70.309153405,8,88
GG,pacman1,001 Pac-Man.gg,35,ispacman1,80.678519085,66,88
MD,terminator1,377 Terminator.bin,29,theterminator1,63.0558570447,9,88
GB,thecastlevaniaadventure1,031 The Castlevania Adventure.gb,33,castlevaniatheadventure1,50.5813262124,34,88
MD,simpsonsthebartinightmare1,"216 Simpsons, The - Bart's Nightmare.bin",29,thesimpsonsbartinightmare1,53.9934925087,24,88
GBC,dragonwarriormonsters2taraiadventure1,005 Dragon Warrior Monsters 2-Tara's Adventure.gbc,22,dragonwarriormonsters2taraiadventurecobijourney1,92.0,0,87
GBA,seamanzero3,069 Megaman Zero 3.gba,24,megamanzero3,83.4406963893,44,87
MD,nbahangtime1,501 NBA Hang Time.bin,29,nbaanytime1,61.5220060717,9,87
GBA,seamanbass1,278 MegaMan & Bass.gba,24,megamanbass1,70.2910636521,43,87
GB,theadventuresofrockyandbullwinkle1,The Adventures of Rocky and Bullwinkle.gb,33,theadventuresofrockyandbullwinkleandfriends1,57.0,3,87
GBA,seamanzero4,070 Megaman Zero 4.gba,24,megamanzero4,78.005399802,38,87
GBA,seamanzero1,067 Megaman Zero 1.gba,24,megamanzero1,84.9551847895,70,87
MD,lotusturbochallenge1,494 Lotus Turbo Challenge.bin,29,lotusespritturbochallenge1,75.539915122,16,87
GBA,pokemonfirered1,004 Pokemon Fire Red.gba,24,pokemonfigured1,83.2230068626,400,87
GBA,shreksuperslam1,322 Shrek Super Slam.gba,24,shreksuperstar1,64.4219680723,13,87
GBA,seamanzero2,068 Megaman Zero 2.gba,24,megamanzero2,82.173178068,46,87
GBA,seamanbass1,071 MegaMan & Bass.gba,24,megamanbass1,70.2910636521,43,87
GB,i1poleposition1,110 F-1 Pole Position.gb,33,fupoleposition1,50.0,2,87
MD,arielthelittlemermaid1,311 Ariel-The Little Mermaid.bin,29,disneyiarielthelittlemermaid1,40.1391650099,7,86
MD,krustyisuperfunhouse1,416 Krusty's Super Funhouse.bin,29,krustyifunhouse1,65.8915682034,13,86
MD,tintinautibet1,577 Tintin Au Tibet.bin,29,tintinintibet1,47.3128103978,8,86
MD,wifwrestlemaniaarcade1,225 WWF Wrestlemania Arcade.bin,29,wifwrestlemaniathearcadegame1,30.9948626171,12,86
GBA,starwarsjedipowerbattles1,339 Star Wars-Jedi Power Battles.gba,24,starwarsepisodeijedipowerbattles1,74.0586188055,22,86
GB,wizardswarriorschapterithefortressoffear1,215 Wizards & Warriors Chapter X-The Fortress of Fear.gb,33,wizardswarriorsifortressoffear1,63.0,4,86
MD,championshipproam1,145 Championship Pro-Am.bin,29,championshippool1,43.0,3,86
GBA,driven1,498 Driven.gba,24,driver1,55.4077301966,65,86
PS,laymen1,Klaymen 1.PBP,7,layman1,79.1567358281,158,86
GBA,seamanbattlenetworkeye2,286 Megaman Battle Network EXE 2.gba,24,megamanbattlenetwork2,80.4316239799,31,86
MD,immortal1,411 Immortal.bin,29,theimmortal1,74.9223442995,7,86
GBA,kirbyandtheamazingmirror1,042 Kirby And The Amazing Mirror.gba,24,kirbyamazingmirror1,84.3886740772,70,86
GBA,seamanbattlenetworkeye1,285 Megaman Battle Network EXE 1.gba,24,megamanbattlenetwork1,82.8255571891,47,86
GBA,simcity2000,635 Sim City 2000.gba,24,sicily2000,77.2713150779,142,86
MD,aeroblasters1,054 AeroBlasters.bin,29,roadblasters1,69.9125365279,6,85
PS,ridgeracer4,Ridge Racer 4.PBP,7,ridgeracertype4,89.8493187737,25,85
GB,madden96,Madden '96.gb,33,maddenifl96,50.0,0,84
MD,guitarsuperheroes1,038 Gunstar Super Heroes.bin,29,guitarheroes1,84.5498425524,56,84
GB,madden95,Madden '95.gb,33,maddenifl95,47.0,0,84
PS,seamanxu1,MegaMan X6,7,megamanxu1,74.0409142993,73,84
GB,madden97,Madden '97.gb,33,maddenifl97,60.0,0,84
FC,goonies2,327 Goonies II.nes,18,thegoonies2,67.5332803121,14,84
GBC,dalmatianspuppiestorescue1,175 Dalmatians-Puppies to the Rescue.gbc,22,disneyi102dalmatianspuppiestorescue1,71.1620928657,27,84
GB,itchyscratchyminiaturegolfmadness1,Itchy & Scratchy-Minature Golf Madness.gb,33,thesimpsonsitchyscratchyinminiaturegolfmadness1,50.0,0,84
GB,spiderman1,046 Spider-Man.gb,33,superman1,46.0,0,84
GBA,harvestmoonmineraltown1,072 Harvest Moon-Mineral Town.gba,24,harvestmoonfriendsofmineraltown1,88.3976431548,21,84
FC,soon1,531 Sqoon.nes,18,sonson1,50.2017828154,7,83
GBC,dragonwarriormonsters2cobijourney1,004 Dragon Warrior Monsters 2-Cobi's Journey.gbc,22,dragonwarriormonsters2taraiadventurecobijourney1,92.0,0,83
GBA,armymenadvance1,906 Army Men Advance.gba,24,laymanadvance1,76.0761897527,8,83
GG,vampiremasterofdarkness1,Vampire-Master of Darkness.gg,35,masterofdarkness1,70.6304923378,6,83
GBC,toystoryracing1,Toy Story Racing.gbc,22,toystoryracer1,79.19632574,13,83
FC,thelittlemermaid1,574 The Little Mermaid.nes,18,disneyithelittlemermaid1,69.6633174663,19,83
GBA,thekingoffightersex1,037 The King Of Fighters EX1.gba,24,thekingoffightersexneoblood1,50.0523164425,8,83
GBA,internationalkarateadvanced1,540 International Karate Advanced.gba,24,internationalkarate1,84.1800128212,27,83
GBA,seamanbattlenetwork3blueversion1,280 Megaman Battle Network 3-Blue Version.gba,24,megamanbattlenetwork3blue1,89.1963241815,13,83
FC,teambaseball1,554 Tecmo Baseball.nes,18,baseball1,50.638859582,10,82
NEOGEO,lastblad1,lastblad.zip,80,thelastblade1,70.274788499,14,82
MD,smurfs1,443 Smurfs 1.bin,29,thesmurfs1,65.2202209127,19,82
NEOGEO,wakuwak7,wakuwak7.zip,80,wakewake7,70.0,7,82
GBA,advancega1,154 Advance GTA.gba,24,advancewars1,82.7161480897,94,82
FC,hudsoniadventureisland1,065 Hudson's Adventure Island.nes,18,adventureisland1,69.486326846,68,82
GB,humans1,128 Humans.gb,33,thehumans1,58.0,2,82
FC,roadrunner1,072 Road Runner.nes,18,loderunner1,76.8909998969,41,82
MD,fuworldchampionship1,405 F1 World Championship.bin,29,worldchampionshipsoccer1,49.9260548064,6,82
FC,spacehunter1,526 Space Hunter.nes,18,spyhunter1,79.6749783657,29,82
FC,teenagemutantheroturtles1,029 Teenage Mutant Hero Turtles.nes,18,teenagemutantninjaturtles1,66.0080468235,23,82
